County,Year,Population
Alamance,2018,26292
Alamance,2019,26579
Alamance,2020,26633
Alexander,2018,5200
Alexander,2019,5146
Alexander,2020,5055
Alleghany,2018,1382
Alleghany,2019,1334
Alleghany,2020,1299
Anson,2018,3439
Anson,2019,3445
Anson,2020,3397
Ashe,2018,3319
Ashe,2019,3245
Ashe,2020,3153
Avery,2018,1793
Avery,2019,1776
Avery,2020,1813
Beaufort,2018,6554
Beaufort,2019,6469
Beaufort,2020,6305
Bertie,2018,2371
Bertie,2019,2315
Bertie,2020,2232
Bladen,2018,4771
Bladen,2019,4606
Bladen,2020,4555
Brunswick,2018,14883
Brunswick,2019,14974
Brunswick,2020,15175
Buncombe,2018,34237
Buncombe,2019,33854
Buncombe,2020,33699
Burke,2018,11617
Burke,2019,11557
Burke,2020,11403
Cabarrus,2018,37932
Cabarrus,2019,38521
Cabarrus,2020,39064
Caldwell,2018,11477
Caldwell,2019,11483
Caldwell,2020,11297
Camden,2018,1648
Camden,2019,1681
Camden,2020,1649
Carteret,2018,8337
Carteret,2019,8159
Carteret,2020,7895
Caswell,2018,2940
Caswell,2019,2897
Caswell,2020,2877
Catawba,2018,24531
Catawba,2019,24461
Catawba,2020,24476
Chatham,2018,10195
Chatham,2019,10139
Chatham,2020,10074
Cherokee,2018,3326
Cherokee,2019,3261
Cherokee,2020,3217
Chowan,2018,1955
Chowan,2019,1932
Chowan,2020,1866
Clay,2018,1288
Clay,2019,1280
Clay,2020,1278
Cleveland,2018,15200
Cleveland,2019,15228
Cleveland,2020,15528
Columbus,2018,8044
Columbus,2019,7957
Columbus,2020,7787
Craven,2018,16317
Craven,2019,15985
Craven,2020,15800
Cumberland,2018,61701
Cumberland,2019,62516
Cumberland,2020,62286
Currituck,2018,4259
Currituck,2019,4338
Currituck,2020,4487
Dare,2018,4817
Dare,2019,4738
Dare,2020,4655
Davidson,2018,25593
Davidson,2019,25557
Davidson,2020,25448
Davie,2018,6169
Davie,2019,6121
Davie,2020,6203
Duplin,2018,10095
Duplin,2019,9973
Duplin,2020,9808
Durham,2018,49267
Durham,2019,49258
Durham,2020,48813
Edgecombe,2018,8328
Edgecombe,2019,8164
Edgecombe,2020,8011
Forsyth,2018,62128
Forsyth,2019,61866
Forsyth,2020,61265
Franklin,2018,10391
Franklin,2019,10646
Franklin,2020,10853
Gaston,2018,35800
Gaston,2019,35786
Gaston,2020,35701
Gates,2018,1575
Gates,2019,1599
Gates,2020,1512
Graham,2018,1157
Graham,2019,1157
Graham,2020,1140
Granville,2018,8535
Granville,2019,8453
Granville,2020,8425
Greene,2018,2973
Greene,2019,2970
Greene,2020,2946
Guilford,2018,84307
Guilford,2019,84585
Guilford,2020,84451
Halifax,2018,7619
Halifax,2019,7444
Halifax,2020,7326
Harnett,2018,26020
Harnett,2019,25937
Harnett,2020,25628
Haywood,2018,8044
Haywood,2019,8006
Haywood,2020,7915
Henderson,2018,15605
Henderson,2019,15556
Henderson,2020,15388
Hertford,2018,3111
Hertford,2019,3021
Hertford,2020,2909
Hoke,2018,11358
Hoke,2019,11419
Hoke,2020,11267
Hyde,2018,611
Hyde,2019,591
Hyde,2020,536
Iredell,2018,28212
Iredell,2019,28286
Iredell,2020,28687
Jackson,2018,5195
Jackson,2019,5176
Jackson,2020,5167
Johnston,2018,36334
Johnston,2019,37099
Johnston,2020,37820
Jones,2018,1241
Jones,2019,1199
Jones,2020,1178
Lee,2018,10694
Lee,2019,10570
Lee,2020,10633
Lenoir,2018,8909
Lenoir,2019,8758
Lenoir,2020,8700
Lincoln,2018,12272
Lincoln,2019,12581
Lincoln,2020,12575
McDowell,2018,6448
McDowell,2019,6345
McDowell,2020,6200
Macon,2018,4643
Macon,2019,4621
Macon,2020,4559
Madison,2018,2685
Madison,2019,2638
Madison,2020,2615
Martin,2018,3278
Martin,2019,3234
Martin,2020,3203
Mecklenburg,2018,187403
Mecklenburg,2019,187655
Mecklenburg,2020,187354
Mitchell,2018,1915
Mitchell,2019,1914
Mitchell,2020,1892
Montgomery,2018,4078
Montgomery,2019,4037
Montgomery,2020,3988
Moore,2018,15256
Moore,2019,15680
Moore,2020,16104
Nash,2018,14414
Nash,2019,14404
Nash,2020,14409
New Hanover,2018,30820
New Hanover,2019,30310
New Hanover,2020,29899
Northampton,2018,2392
Northampton,2019,2328
Northampton,2020,2329
Onslow,2018,38386
Onslow,2019,38236
Onslow,2020,38116
Orange,2018,19647
Orange,2019,19454
Orange,2020,19149
Pamlico,2018,1290
Pamlico,2019,1305
Pamlico,2020,1280
Pasquotank,2018,6366
Pasquotank,2019,6292
Pasquotank,2020,6275
Pender,2018,9746
Pender,2019,9916
Pender,2020,10047
Perquimans,2018,1767
Perquimans,2019,1792
Perquimans,2020,1777
Person,2018,5772
Person,2019,5710
Person,2020,5730
Pitt,2018,27608
Pitt,2019,27531
Pitt,2020,27450
Polk,2018,2226
Polk,2019,2172
Polk,2020,2191
Randolph,2018,22377
Randolph,2019,22312
Randolph,2020,22239
Richmond,2018,7380
Richmond,2019,7386
Richmond,2020,7295
Robeson,2018,23786
Robeson,2019,23311
Robeson,2020,22996
Rockingham,2018,12882
Rockingham,2019,12889
Rockingham,2020,12828
Rowan,2018,21878
Rowan,2019,21901
Rowan,2020,21892
Rutherford,2018,9511
Rutherford,2019,9510
Rutherford,2020,9289
Sampson,2018,10915
Sampson,2019,10930
Sampson,2020,10956
Scotland,2018,5786
Scotland,2019,5917
Scotland,2020,5863
Stanly,2018,9512
Stanly,2019,9577
Stanly,2020,9609
Stokes,2018,5849
Stokes,2019,5809
Stokes,2020,5798
Surry,2018,10661
Surry,2019,10504
Surry,2020,10453
Swain,2018,2328
Swain,2019,2345
Swain,2020,2280
Transylvania,2018,3779
Transylvania,2019,3722
Transylvania,2020,3684
Tyrrell,2018,562
Tyrrell,2019,525
Tyrrell,2020,508
Union,2018,42192
Union,2019,41860
Union,2020,42070
Vance,2018,7591
Vance,2019,7535
Vance,2020,7510
Wake,2018,185714
Wake,2019,185913
Wake,2020,185551
Warren,2018,2540
Warren,2019,2455
Warren,2020,2373
Washington,2018,1721
Washington,2019,1634
Washington,2020,1644
Watauga,2018,5093
Watauga,2019,5024
Watauga,2020,4901
Wayne,2018,21270
Wayne,2019,21167
Wayne,2020,21171
Wilkes,2018,9682
Wilkes,2019,9465
Wilkes,2020,9355
Wilson,2018,13225
Wilson,2019,13229
Wilson,2020,13197
Yadkin,2018,5444
Yadkin,2019,5453
Yadkin,2020,5421
Yancey,2018,2267
Yancey,2019,2287
Yancey,2020,2275
Alamance,2021,26633
Alexander,2021,5055
Alleghany,2021,1299
Anson,2021,3397
Ashe,2021,3153
Avery,2021,1813
Beaufort,2021,6305
Bertie,2021,2232
Bladen,2021,4555
Brunswick,2021,15175
Buncombe,2021,33699
Burke,2021,11403
Cabarrus,2021,39064
Caldwell,2021,11297
Camden,2021,1649
Carteret,2021,7895
Caswell,2021,2877
Catawba,2021,24476
Chatham,2021,10074
Cherokee,2021,3217
Chowan,2021,1866
Clay,2021,1278
Cleveland,2021,15528
Columbus,2021,7787
Craven,2021,15800
Cumberland,2021,62286
Currituck,2021,4487
Dare,2021,4655
Davidson,2021,25448
Davie,2021,6203
Duplin,2021,9808
Durham,2021,48813
Edgecombe,2021,8011
Forsyth,2021,61265
Franklin,2021,10853
Gaston,2021,35701
Gates,2021,1512
Graham,2021,1140
Granville,2021,8425
Greene,2021,2946
Guilford,2021,84451
Halifax,2021,7326
Harnett,2021,25628
Haywood,2021,7915
Henderson,2021,15388
Hertford,2021,2909
Hoke,2021,11267
Hyde,2021,536
Iredell,2021,28687
Jackson,2021,5167
Johnston,2021,37820
Jones,2021,1178
Lee,2021,10633
Lenoir,2021,8700
Lincoln,2021,12575
McDowell,2021,6200
Macon,2021,4559
Madison,2021,2615
Martin,2021,3203
Mecklenburg,2021,187354
Mitchell,2021,1892
Montgomery,2021,3988
Moore,2021,16104
Nash,2021,14409
New Hanover,2021,29899
Northampton,2021,2329
Onslow,2021,38116
Orange,2021,19149
Pamlico,2021,1280
Pasquotank,2021,6275
Pender,2021,10047
Perquimans,2021,1777
Person,2021,5730
Pitt,2021,27450
Polk,2021,2191
Randolph,2021,22239
Richmond,2021,7295
Robeson,2021,22996
Rockingham,2021,12828
Rowan,2021,21892
Rutherford,2021,9289
Sampson,2021,10956
Scotland,2021,5863
Stanly,2021,9609
Stokes,2021,5798
Surry,2021,10453
Swain,2021,2280
Transylvania,2021,3684
Tyrrell,2021,508
Union,2021,42070
Vance,2021,7510
Wake,2021,185551
Warren,2021,2373
Washington,2021,1644
Watauga,2021,4901
Wayne,2021,21171
Wilkes,2021,9355
Wilson,2021,13197
Yadkin,2021,5421
Yancey,2021,2275
Alamance,2022,26633
Alexander,2022,5055
Alleghany,2022,1299
Anson,2022,3397
Ashe,2022,3153
Avery,2022,1813
Beaufort,2022,6305
Bertie,2022,2232
Bladen,2022,4555
Brunswick,2022,15175
Buncombe,2022,33699
Burke,2022,11403
Cabarrus,2022,39064
Caldwell,2022,11297
Camden,2022,1649
Carteret,2022,7895
Caswell,2022,2877
Catawba,2022,24476
Chatham,2022,10074
Cherokee,2022,3217
Chowan,2022,1866
Clay,2022,1278
Cleveland,2022,15528
Columbus,2022,7787
Craven,2022,15800
Cumberland,2022,62286
Currituck,2022,4487
Dare,2022,4655
Davidson,2022,25448
Davie,2022,6203
Duplin,2022,9808
Durham,2022,48813
Edgecombe,2022,8011
Forsyth,2022,61265
Franklin,2022,10853
Gaston,2022,35701
Gates,2022,1512
Graham,2022,1140
Granville,2022,8425
Greene,2022,2946
Guilford,2022,84451
Halifax,2022,7326
Harnett,2022,25628
Haywood,2022,7915
Henderson,2022,15388
Hertford,2022,2909
Hoke,2022,11267
Hyde,2022,536
Iredell,2022,28687
Jackson,2022,5167
Johnston,2022,37820
Jones,2022,1178
Lee,2022,10633
Lenoir,2022,8700
Lincoln,2022,12575
McDowell,2022,6200
Macon,2022,4559
Madison,2022,2615
Martin,2022,3203
Mecklenburg,2022,187354
Mitchell,2022,1892
Montgomery,2022,3988
Moore,2022,16104
Nash,2022,14409
New Hanover,2022,29899
Northampton,2022,2329
Onslow,2022,38116
Orange,2022,19149
Pamlico,2022,1280
Pasquotank,2022,6275
Pender,2022,10047
Perquimans,2022,1777
Person,2022,5730
Pitt,2022,27450
Polk,2022,2191
Randolph,2022,22239
Richmond,2022,7295
Robeson,2022,22996
Rockingham,2022,12828
Rowan,2022,21892
Rutherford,2022,9289
Sampson,2022,10956
Scotland,2022,5863
Stanly,2022,9609
Stokes,2022,5798
Surry,2022,10453
Swain,2022,2280
Transylvania,2022,3684
Tyrrell,2022,508
Union,2022,42070
Vance,2022,7510
Wake,2022,185551
Warren,2022,2373
Washington,2022,1644
Watauga,2022,4901
Wayne,2022,21171
Wilkes,2022,9355
Wilson,2022,13197
Yadkin,2022,5421
Yancey,2022,2275